id,water_bill,barrel,barrel_num,yard_size,home_garden,home_garden_num,attitude_env,temperature
1,209.1154131614323,Barrel,1,25811,No home garden,0,3,68.5
2,238.38867607940074,Barrel,1,39479,Home garden,1,7,77.4
3,163.6632750322707,Barrel,1,13297,No home garden,0,7,65.1
4,225.99667243144236,Barrel,1,28259,No home garden,0,2,65.7
5,232.43579067396513,No barrel,0,21479,No home garden,0,5,65.7
6,278.7417434303547,No barrel,0,28906,Home garden,1,8,76.9
7,224.33977805160652,No barrel,0,7041,No home garden,0,3,70.9
8,185.6650440769466,Barrel,1,29434,No home garden,0,4,56.1
9,198.91259897077657,Barrel,1,24779,Home garden,1,8,70.1
10,172.2876485016624,Barrel,1,29741,Home garden,1,9,62.2
11,224.80096571420697,No barrel,0,16931,No home garden,0,8,73.3
12,227.0648370697751,No barrel,0,10357,No home garden,0,9,81.8
13,158.02207008567208,Barrel,1,16071,No home garden,0,6,67.2
14,226.3705243892291,No barrel,0,14977,No home garden,0,6,70.5
15,209.08138010281314,No barrel,0,13053,No home garden,0,3,71
16,244.47268649816218,No barrel,0,24206,No home garden,0,5,71.3
17,186.43992586902255,No barrel,0,14641,No home garden,0,9,67.6
18,229.73417031888292,No barrel,0,15519,No home garden,0,3,70.7
19,189.76488232771163,No barrel,0,6782,No home garden,0,9,67.4
20,186.17894904262397,Barrel,1,19185,No home garden,0,5,72.2
21,251.19873962594858,No barrel,0,26319,Home garden,1,7,73.4
22,257.9702771814389,No barrel,0,35468,Home garden,1,8,66.2
23,253.06788235807258,Barrel,1,35299,No home garden,0,3,70.4
24,159.36793691165252,Barrel,1,8066,No home garden,0,9,77
25,138.33308549730094,Barrel,1,9509,No home garden,0,6,64.3
26,224.05781226064553,No barrel,0,21281,No home garden,0,2,61.8
27,163.04312110961257,Barrel,1,20160,No home garden,0,2,54.4
28,220.33101835440053,Barrel,1,28510,Home garden,1,7,75.9
29,193.10986079392862,No barrel,0,3815,No home garden,0,6,68.2
30,227.04202834486026,No barrel,0,11933,No home garden,0,4,76.1
31,233.86410183649767,Barrel,1,36989,Home garden,1,6,66.5
32,220.96901578854843,No barrel,0,13489,No home garden,0,5,76.8
33,220.4711555926105,No barrel,0,17570,No home garden,0,3,74.5
34,172.40971693188973,Barrel,1,17197,No home garden,0,3,65.3
35,236.15795071040583,No barrel,0,37644,Home garden,1,6,66.8
36,261.6186875810308,No barrel,0,33476,Home garden,1,8,72.4
37,213.65602241770947,Barrel,1,24009,No home garden,0,1,73.8
38,177.0401844182465,Barrel,1,10880,No home garden,0,4,72.1
39,200.26287655043754,Barrel,1,31316,Home garden,1,7,71.8
40,269.698631875829,No barrel,0,34542,Home garden,1,6,72.5
41,174.03586037480943,Barrel,1,14983,No home garden,0,5,73.3
42,215.75713414148387,No barrel,0,27877,Home garden,1,9,64
43,196.75732397233244,Barrel,1,27994,No home garden,0,5,69.9
44,184.5059320917485,Barrel,1,15527,No home garden,0,2,67.8
45,226.966714846128,No barrel,0,13715,No home garden,0,8,75.2
46,254.7695955480154,No barrel,0,28308,No home garden,0,2,70.9
47,239.80147175218127,No barrel,0,26454,No home garden,0,5,65.1
48,287.1544124181007,No barrel,0,29906,No home garden,0,4,79.1
49,170.20255550821437,No barrel,0,18501,Home garden,1,9,63.8
50,174.6675595068313,Barrel,1,26720,No home garden,0,5,65.2
51,221.785744497745,Barrel,1,35343,Home garden,1,6,65.8
52,207.99197405167428,Barrel,1,12211,No home garden,0,6,83.8
53,274.21031458960846,No barrel,0,28904,Home garden,1,7,71.3
54,214.0028411128248,No barrel,0,13592,No home garden,0,6,66.8
55,139.61028041524162,Barrel,1,12990,No home garden,0,4,69.4
56,203.02974771113696,No barrel,0,9363,No home garden,0,7,69.2
57,208.71029663968335,Barrel,1,27521,Home garden,1,7,68.5
58,253.99539551632282,No barrel,0,24539,No home garden,0,4,68.4
59,235.4795894566223,No barrel,0,26410,No home garden,0,4,65.7
60,185.66041311802346,No barrel,0,12062,No home garden,0,6,67.9
61,196.3659511476905,Barrel,1,32672,No home garden,0,4,64.6
62,247.87741404110386,No barrel,0,34827,Home garden,1,6,75.7
63,211.09481350822307,Barrel,1,24811,No home garden,0,3,70.1
64,147.5024002422484,Barrel,1,13646,No home garden,0,6,65.9
65,223.8035806063712,Barrel,1,20140,No home garden,0,3,74.4
66,227.88328525735272,No barrel,0,24714,No home garden,0,4,68.2
67,201.84388146875494,Barrel,1,11316,No home garden,0,8,76.3
68,243.97109547146076,No barrel,0,23572,No home garden,0,4,70.6
69,202.1022119406521,Barrel,1,29730,No home garden,0,5,68.4
70,145.89666800268492,Barrel,1,12860,No home garden,0,6,62.4
71,167.67319229619093,Barrel,1,13761,No home garden,0,6,78.3
72,182.36468122576503,Barrel,1,25221,No home garden,0,4,61.9
73,234.8251897238372,No barrel,0,31993,Home garden,1,6,70.2
74,241.63559048040165,No barrel,0,31952,No home garden,0,5,68.5
75,247.05803218393766,No barrel,0,36695,Home garden,1,5,61.8
76,179.13431003132754,Barrel,1,16829,No home garden,0,1,65.9
77,188.4500091864476,Barrel,1,26067,Home garden,1,8,68.8
78,196.54237655891527,Barrel,1,23897,No home garden,0,7,63
79,209.37737848576376,Barrel,1,34248,Home garden,1,7,67.6
80,242.1768092107438,No barrel,0,28608,Home garden,1,7,73.1
81,140.48456619813624,Barrel,1,4832,No home garden,0,8,67.8
82,213.6144376326924,Barrel,1,24637,Home garden,1,7,68.4
